ID,TMP_mean,TMP_std,DEW_mean,DEW_std,AA_mean,AA_std,SLP_mean,SLP_std
1,17.15116212747754,8.895041868086583,10.580663366134914,9.06788720321068,5.241837500302539,29.522232999123354,10173.320032294369,56.197743276434444
3,10.247670535421,11.820852671269169,4.079348093817565,11.214461820520187,3.248412138320395,21.388687810754757,10171.519865385872,78.3744307429209
4,17.43966037410568,4.712354535569361,6.048427509936063,5.410814479003321,13.594026548672566,23.997739090242913,10100.206572769954,43.20240853098512
5,18.152819295803575,4.610861329235109,6.283146324708038,5.164818567661811,13.408092485549133,25.835846604172048,10097.51703442189,39.90086489712905
6,12.837740799674982,11.617727148154607,0.7269824870431218,5.992759366190324,1.5746131486705992,9.57903401677052,10148.359924349881,80.5431045304447
7,12.283516295025729,10.624607929342414,5.360615874033048,11.603105662347792,,,,
8,12.139956401401033,10.630760576693035,5.50920972023688,11.603910432396512,,,,
9,12.79596455769608,9.309148833688036,5.957946053843791,10.514960830878225,4.778626282616646,27.153399949201955,10164.086868995259,79.59974578382584
10,11.775123723692436,7.275939973922113,7.166305232652795,5.681886698687192,1.9171491886482237,10.260139253568456,10166.886749031008,90.21280941159917
11,13.401962594195444,10.09932590222635,8.22812078400461,9.968018136408743,5.871665015229917,27.665797986736482,10180.468057520038,64.09913092070137
12,8.915991935055976,10.90436671097124,3.584243976223331,10.455599343300744,3.4959291262438783,21.357613087381328,10160.989955247771,75.61434644754169
13,7.480338533521825,12.662260685569448,2.0720075577466903,11.90485059856587,1.321736096573861,13.25683261222047,10162.296960748445,82.73752478163406
14,19.487406486463314,4.707393904274901,16.131204837360894,3.48081184033986,,,,
15,11.535177066190972,6.972445948766354,7.6284926805659445,5.52896927496135,3.408131834283074,15.232561305878566,10163.514507765816,93.0881587652253
16,10.7950778232649,9.597540886598853,4.800018651167714,10.41713676583228,2.9144302798554014,20.45926618572647,10159.360622884225,86.94264716321496
17,12.708715683661424,10.29819959030305,5.380575676706062,11.28528284649271,,,,
18,9.563168972696667,6.880524418666833,6.024001904714169,6.157424565547922,7.7714169985823265,17.644687581877562,10140.585089498594,104.12339320428013
19,8.792133594480074,7.313773227091677,5.549271652031438,6.733286457847411,10.959943449575873,23.834803881991085,10138.010417881438,102.86216348908624
20,18.675993993135013,4.977397971687576,11.390944316877151,5.859783342549525,11.816535150645624,53.60146125352527,10174.823566331925,69.22586771851603
21,19.273176561295298,6.334490898500822,4.10134851068893,7.722689706711707,11.959816887080366,39.328406722563834,10113.215336859048,53.02080191467037
22,17.10273244926816,6.317882316443534,11.591576954701036,6.462460673669943,2.4989090909090907,15.496341308030802,10183.490612244897,74.64939489803781
