fid,row_index,col_index,mission_id,Blue,Green,Red,NIR,LST_K
16,1,10,LT05_199026_19950413,0.08553250000000001,0.08611000000000002,0.09903499999999998,0.13640750000000001,286.69835372
17,1,11,LT05_199026_19950413,0.08811750000000002,0.09094999999999998,0.09903499999999998,0.145785,286.70177174
18,1,12,LT05_199026_19950413,0.090675,0.09094999999999998,0.10692750000000001,0.1551075,286.37705984
31,2,9,LT05_199026_19950413,0.09826499999999999,0.10060249999999998,0.11086000000000001,0.145785,287.25207295999996
32,2,10,LT05_199026_19950413,0.12111749999999999,0.12472,0.14226499999999997,0.19245250000000003,286.69835372
33,2,11,LT05_199026_19950413,0.12868000000000002,0.1295325,0.14617000000000002,0.19245250000000003,286.70177174
34,2,12,LT05_199026_19950413,0.14127499999999998,0.1438875,0.15010250000000003,0.20636749999999998,286.9341971
42,3,2,LT05_199026_19950413,0.05451250000000002,0.056794999999999984,0.06334000000000001,0.09411249999999999,286.82823848
43,3,3,LT05_199026_19950413,0.059709999999999985,0.06166250000000001,0.06334000000000001,0.08940999999999999,286.6094852
44,3,4,LT05_199026_19950413,0.062267499999999976,0.06166250000000001,0.06732749999999998,0.08467999999999998,287.16320443999996
45,3,5,LT05_199026_19950413,0.067465,0.06655749999999999,0.07527499999999998,0.08467999999999998,287.17345850000004
46,3,6,LT05_199026_19950413,0.0777775,0.08605499999999999,0.09900750000000003,0.11292249999999998,287.72375972
47,3,7,LT05_199026_19950413,0.0777775,0.07632,0.09504750000000001,0.13640750000000001,287.72375972
48,3,8,LT05_199026_19950413,0.07007750000000001,0.08118750000000002,0.08322249999999998,0.1551075,287.25207295999996
49,3,9,LT05_199026_19950413,0.09823749999999998,0.10060249999999998,0.1069,0.15045999999999998,287.25207295999996
50,3,10,LT05_199026_19950413,0.13621499999999997,0.1438875,0.1579125,0.22033750000000002,286.69835372
51,3,11,LT05_199026_19950413,0.1637425,0.17248750000000002,0.1734775,0.2434925,286.70177174
52,3,12,LT05_199026_19950413,0.15628999999999998,0.17248750000000002,0.1812875,0.23884500000000003,286.9341971
61,4,2,LT05_199026_19950413,0.06482500000000002,0.061634999999999995,0.06729999999999997,0.08467999999999998,286.27110122
62,4,3,LT05_199026_19950413,0.05451250000000002,0.05676749999999997,0.06334000000000001,0.09411249999999999,286.6094852
63,4,4,LT05_199026_19950413,0.06224000000000002,0.06652999999999998,0.0712875,0.0988425,286.6094852
64,4,5,LT05_199026_19950413,0.07257999999999998,0.07142500000000002,0.079235,0.11292249999999998,286.61973925999996
65,4,6,LT05_199026_19950413,0.08028000000000002,0.07629249999999999,0.08319500000000002,0.12232749999999998,287.17345850000004
66,4,7,LT05_199026_19950413,0.07774999999999999,0.09086749999999999,0.08715499999999998,0.11762499999999998,287.17345850000004
67,4,8,LT05_199026_19950413,0.08286500000000002,0.08602749999999998,0.091115,0.12702999999999998,287.25207295999996
68,4,9,LT05_199026_19950413,0.090565,0.09086749999999999,0.09504750000000001,0.12702999999999998,286.69835372
69,4,10,LT05_199026_19950413,0.10585499999999998,0.11022749999999998,0.11872500000000002,0.16915999999999998,286.69835372
70,4,11,LT05_199026_19950413,0.12614999999999998,0.12469249999999998,0.13442749999999998,0.18315750000000003,286.70177174
71,4,12,LT05_199026_19950413,0.1109425,0.1199075,0.13049500000000003,0.1784825,287.48791633999997
81,5,1,LT05_199026_19950413,0.08278249999999998,0.08110499999999998,0.08712750000000002,0.12232749999999998,285.9600614
